generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
781,7.882,0.7,0.423689,0,0.438829,0.142857
782,6.764,0.7,0.451375,0.142857,0.45982,0.142857
783,8.072,0.7,0.47516,0.142857,0.489054,0.142857
784,7.85,0.7,0.499374,0.142857,0.509534,0.142857
785,7.781,0.7,0.478546,0.142857,0.494004,0.142857
786,7.73,0.7,0.443275,0.142857,0.456593,0.142857
787,6.968,0.7,0.395275,0.142857,0.407375,0.142857
788,8.08,0.7,0.406044,0.142857,0.424455,0.142857
789,7.555,0.7,0.394696,0.142857,0.405054,0.142857
790,8.205,0.7,0.417196,0,0.429755,0.142857
791,9.21,0.7,0.420247,0.125,0.432569,0.142857
792,7.48,0.7,0.359883,0,0.375172,0.142857
793,6.535,0.7,0.354051,0.125,0.364944,0.142857
794,7.644,0.7,0.388451,0.125,0.403808,0.142857
795,7.982,0.7,0.395781,0.125,0.411317,0.142857
796,8.867,0.7,0.382891,0.125,0.411792,0.142857
797,8.989,0.7,0.394532,0,0.420004,0.142857
798,9.264,0.7,0.379349,0,0.411611,0
799,8.4,0.7,0.38581,0,0.417492,0.142857
800,7.472,0.7,0.337563,0,0.352345,0
801,7.269,0.7,0.351925,0.142857,0.368968,0.142857
802,6.282,0.7,0.354016,0.142857,0.369171,0.142857
803,6.913,0.7,0.34844,0.125,0.371881,0.142857
804,8.148,0.7,0.348671,0,0.373829,0
805,8.329,0.7,0.387036,0,0.420111,0.142857
806,7.977,0.7,0.389952,0,0.423956,0
807,7.565,0.7,0.381929,0,0.397444,0.142857
808,7.718,0.7,0.387782,0,0.406591,0.142857
809,7.278,0.7,0.344458,0,0.373288,0.142857
810,6.105,0.7,0.298999,0,0.324039,0
811,6.429,0.7,0.306369,0,0.330571,0.142857
812,6.516,0.7,0.311091,0,0.3325,0.142857
813,7.069,0.7,0.381807,0,0.395962,0.142857
814,7.414,0.7,0.350095,0,0.3664,0.142857
815,7.746,0.7,0.335859,0,0.364367,0.142857
816,7.637,0.7,0.369069,0,0.396891,0.142857
817,7.879,0.7,0.364727,0,0.389501,0.142857
818,6.729,0.7,0.293622,0,0.317297,0.142857
819,8.581,0.7,0.369185,0.125,0.387376,0.142857
820,6.715,0.7,0.329811,0.125,0.336596,0.142857
821,8.246,0.7,0.350943,0.111111,0.364808,0.125
822,7.392,0.7,0.334145,0,0.358506,0.125
823,6.926,0.7,0.313591,0,0.333091,0.125
824,6.134,0.7,0.294752,0.125,0.310645,0.125
825,7.217,0.7,0.305764,0.125,0.334891,0.142857
826,6.586,0.7,0.335216,0.125,0.354324,0.142857
827,7.036,0.7,0.347585,0.125,0.357602,0.142857
828,8.355,0.7,0.399032,0.125,0.418692,0.142857
829,8.13,0.7,0.364927,0,0.379546,0.142857
830,8.271,0.7,0.393977,0,0.409632,0.142857
831,8.578,0.7,0.378886,0.125,0.398724,0.142857
832,8.901,0.7,0.412596,0,0.430041,0.142857
833,8.968,0.7,0.410092,0.142857,0.425767,0.142857
834,8.272,0.7,0.369244,0.142857,0.379205,0.142857
835,9.311,0.7,0.448833,0.142857,0.470422,0.142857
836,8.86,0.7,0.425041,0.142857,0.441957,0.142857
837,7.668,0.7,0.391465,0.142857,0.405618,0.142857
838,7.174,0.7,0.390044,0.142857,0.405105,0.142857
839,5.967,0.7,0.387005,0.142857,0.396165,0.142857
840,5.829,0.7,0.333348,0.142857,0.34761,0.142857
841,6.09,0.7,0.350639,0.142857,0.356163,0.142857
842,7.083,0.7,0.358317,0.142857,0.371714,0.142857
843,7.495,0.7,0.352262,0.142857,0.37048,0.142857
844,6.946,0.7,0.348951,0,0.358951,0
845,6.046,0.7,0.330071,0,0.350007,0.142857
846,6.748,0.7,0.324825,0.111111,0.345905,0.142857
847,8.323,0.7,0.392238,0.142857,0.409746,0.142857
848,6.926,0.7,0.373698,0.142857,0.380524,0.142857
849,7.055,0.7,0.362926,0.142857,0.371498,0.142857
850,8.789,0.7,0.391437,0,0.413857,0.142857
851,8.81,0.7,0.446706,0.142857,0.461151,0.142857
852,7.652,0.7,0.380045,0.142857,0.396712,0.142857
853,7.693,0.7,0.364268,0.142857,0.369665,0.142857
854,8.192,0.7,0.373281,0.125,0.381674,0.142857
855,7.901,0.7,0.381186,0.142857,0.396043,0.142857
856,7.626,0.7,0.365278,0.142857,0.38123,0.142857
857,8.824,0.7,0.381631,0,0.400024,0.142857
858,9.414,0.7,0.39104,0,0.420944,0.142857
859,9.372,0.7,0.415919,0,0.434665,0.142857
860,7.692,0.7,0.40277,0,0.417849,0.142857
861,6.877,0.7,0.332671,0,0.349571,0.142857
862,7.224,0.7,0.34623,0,0.361944,0.142857
863,6.152,0.7,0.291266,0.125,0.297913,0.125
864,6.177,0.7,0.2935,0.111111,0.308004,0.142857
865,5.582,0.7,0.299667,0.125,0.303774,0.125
866,5.732,0.7,0.305155,0.125,0.31069,0.142857
867,5.563,0.7,0.274608,0,0.289478,0.142857
868,8.431,0.7,0.344215,0,0.362181,0.142857
869,8.744,0.7,0.417133,0.142857,0.422491,0.142857
870,7.855,0.7,0.34102,0,0.350841,0.125
871,7.808,0.7,0.343036,0.125,0.356536,0.142857
872,8.153,0.7,0.316815,0.125,0.337672,0.125
873,8.378,0.7,0.334508,0.125,0.357936,0.125
874,8.791,0.7,0.332859,0,0.356268,0.142857
875,8.015,0.7,0.373188,0.125,0.387954,0.125
876,9.37,0.7,0.433119,0,0.450083,0.142857
877,8.38,0.7,0.427567,0,0.447496,0.125
878,8.663,0.7,0.379956,0,0.398889,0.142857
879,7.79,0.7,0.389607,0,0.410956,0.142857
880,7.463,0.7,0.351433,0,0.372663,0.142857
881,7.854,0.7,0.377381,0.125,0.393381,0.142857
882,7.387,0.7,0.342536,0,0.359825,0.142857
883,9.448,0.7,0.392609,0,0.407359,0.142857
884,9.414,0.7,0.354871,0,0.383713,0.142857
885,8.337,0.7,0.387352,0,0.407481,0
886,8.314,0.7,0.397227,0,0.413731,0
887,8.156,0.7,0.380865,0,0.388008,0
888,8.757,0.7,0.400192,0,0.405589,0
889,8.629,0.7,0.391557,0,0.406097,0.142857
890,8.939,0.7,0.431543,0,0.45169,0.142857
891,10.144,0.7,0.444466,0,0.474779,0.142857
892,9.262,0.7,0.444781,0.111111,0.458996,0.142857
893,8.841,0.7,0.443926,0,0.451069,0.142857
894,8.475,0.7,0.415375,0,0.426879,0.142857
895,7.449,0.7,0.383478,0.125,0.396839,0.142857
896,7.505,0.7,0.387642,0.142857,0.399123,0.142857
897,8.643,0.7,0.425462,0,0.435395,0.142857
898,9.463,0.7,0.457683,0.142857,0.471374,0.142857
899,9.43,0.7,0.46447,0,0.486213,0.142857
900,9.663,0.7,0.460185,0.142857,0.473758,0.142857
901,10.296,0.7,0.478581,0.1,0.498934,0.142857
902,9.518,0.7,0.479876,0.1,0.498892,0.142857
903,8.394,0.7,0.445191,0,0.471643,0.142857
904,8.252,0.7,0.377015,0.1,0.410477,0.142857
905,7.313,0.7,0.380631,0,0.399206,0.142857
906,6.862,0.7,0.33822,0,0.355665,0
907,5.946,0.7,0.319157,0,0.328204,0.142857
908,6.591,0.7,0.311879,0,0.317593,0
909,5.163,0.7,0.287588,0.125,0.292945,0.142857
910,8.006,0.7,0.387478,0,0.396602,0
911,8.286,0.7,0.382904,0.142857,0.396237,0.142857
912,8.756,0.7,0.360636,0.142857,0.377398,0.142857
913,8.148,0.7,0.358487,0,0.370439,0
914,7.386,0.7,0.375136,0,0.384279,0.142857
915,9.518,0.7,0.390124,0,0.402918,0.142857
916,6.914,0.7,0.333056,0,0.345278,0.142857
917,6.664,0.7,0.328587,0,0.344984,0.142857
918,6.26,0.7,0.312718,0,0.329543,0.142857
919,6.054,0.7,0.293683,0,0.310508,0.142857
920,5.677,0.7,0.290377,0,0.303234,0
921,6.682,0.7,0.364746,0,0.368512,0
922,6.523,0.7,0.384295,0,0.388581,0
923,7.382,0.7,0.29575,0,0.310036,0
924,6.104,0.7,0.297153,0,0.304295,0
925,8.935,0.7,0.372597,0,0.378311,0
926,9.186,0.7,0.422789,0,0.438662,0.142857
927,9.01,0.7,0.416604,0,0.429461,0
928,9.094,0.7,0.416021,0.142857,0.430696,0.142857
929,9.652,0.7,0.438818,0.142857,0.452584,0.142857
930,10.609,0.7,0.484249,0,0.494249,0.142857
931,9.323,0.7,0.43165,0,0.440395,0.142857
932,9.422,0.7,0.426359,0,0.435684,0.142857
933,10.213,0.7,0.466531,0.142857,0.479848,0.142857
934,9.498,0.7,0.504403,0.142857,0.51763,0.142857
935,9.237,0.7,0.477804,0.142857,0.497162,0.142857
936,8.201,0.7,0.343345,0.142857,0.363044,0.142857
937,6.925,0.7,0.377776,0.142857,0.387257,0.142857
938,8.854,0.7,0.415179,0,0.432866,0.125
939,9.505,0.7,0.420075,0,0.438043,0.125
940,8.974,0.7,0.411506,0,0.430868,0.142857
941,7.896,0.7,0.333161,0,0.364462,0.142857
942,7.732,0.7,0.352777,0,0.38759,0.142857
943,7.871,0.7,0.359136,0,0.377612,0.125
944,10.039,0.7,0.431768,0,0.455391,0.142857
945,10.129,0.7,0.436753,0,0.454622,0.125
946,9.708,0.7,0.386411,0,0.415495,0
947,9.812,0.7,0.457469,0.142857,0.489868,0.142857
948,9.306,0.7,0.451241,0.142857,0.48238,0.142857
949,10.637,0.7,0.435537,0.142857,0.467212,0.142857
950,10.738,0.7,0.497058,0.142857,0.523455,0.142857
951,10.188,0.7,0.50157,0.142857,0.528661,0.142857
952,10.718,0.7,0.504251,0,0.536275,0
953,8.906,0.7,0.463729,0,0.488109,0.142857
954,9.169,0.7,0.430228,0,0.456035,0.142857
955,8.143,0.7,0.36226,0,0.388187,0.142857
956,7.872,0.7,0.382033,0,0.403946,0.142857
957,9.022,0.7,0.447457,0,0.468604,0.142857
958,7.843,0.7,0.398021,0,0.415589,0.142857
959,8.138,0.7,0.393599,0,0.410255,0.125
960,7.861,0.7,0.376961,0,0.398412,0
961,6.908,0.7,0.364587,0.125,0.385941,0.142857
962,5.982,0.7,0.334521,0.111111,0.34973,0.142857
963,6.052,0.7,0.326668,0.125,0.346659,0.142857
964,6.818,0.7,0.353674,0.125,0.373742,0.142857
965,6.746,0.7,0.329692,0.142857,0.354256,0.142857
966,7.746,0.7,0.359176,0,0.376741,0.142857
967,7.397,0.7,0.348952,0.142857,0.366889,0.142857
968,8.793,0.7,0.376508,0,0.390437,0
969,9.082,0.7,0.438139,0,0.45802,0
970,9.677,0.7,0.435179,0.142857,0.456726,0.142857
971,9.645,0.7,0.406111,0,0.429548,0.142857
972,10.053,0.7,0.437283,0,0.464676,0.142857
973,8.95,0.7,0.423501,0,0.450224,0.142857
974,8.846,0.7,0.403109,0,0.417394,0
975,8.302,0.7,0.391541,0,0.401113,0
976,10.178,0.7,0.429512,0,0.440083,0
977,7.744,0.7,0.347857,0,0.356,0
978,8.018,0.7,0.395913,0,0.411563,0
979,8.481,0.7,0.36834,0,0.38972,0
980,7.899,0.7,0.383025,0,0.394454,0.142857
981,7.802,0.7,0.359159,0,0.374694,0.142857
982,7.642,0.7,0.400429,0,0.411857,0.142857
983,8.09,0.7,0.370087,0,0.382516,0
984,7.699,0.7,0.380036,0.142857,0.389607,0.142857
985,8.776,0.7,0.354968,0,0.370647,0.125
986,6.585,0.7,0.307425,0.142857,0.319929,0.142857
987,7.588,0.7,0.298579,0.111111,0.312484,0.142857
988,7.623,0.7,0.352597,0,0.369815,0
989,7.145,0.7,0.332274,0,0.347381,0
990,6.664,0.7,0.314869,0.125,0.329548,0.142857
991,6.709,0.7,0.316286,0.142857,0.329937,0.142857
992,5.925,0.7,0.297357,0.142857,0.304865,0.142857
993,4.936,0.7,0.310075,0.125,0.315003,0.142857
994,6.443,0.7,0.343172,0.142857,0.348569,0.142857
995,6.004,0.7,0.317593,0,0.32045,0
996,5.878,0.7,0.292548,0,0.29969,0.142857
997,7.436,0.7,0.36931,0,0.37931,0.142857
998,7.61,0.7,0.375044,0.125,0.382008,0.142857
999,8.178,0.7,0.377835,0.142857,0.388665,0.142857
