generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
420,11.118,4.3,0.827266,0.636364,0.827266,0.636364
421,11.065,4.1,0.822614,0.454545,0.822614,0.454545
422,10.489,3.6,0.824071,0.5,0.824659,0.5
423,11.724,2.6,0.822548,0.5,0.82665,0.5
424,11.394,2.5,0.823928,0.545455,0.829754,0.6
425,10.935,3.1,0.822706,0.5,0.826361,0.5
426,10.244,4.4,0.823476,0.545455,0.826395,0.6
427,11.697,2.8,0.819896,0.6,0.821661,0.6
428,10.889,2.5,0.81177,0.538462,0.817685,0.6
429,12.075,4,0.797073,0.375,0.801002,0.375
430,11.982,3.6,0.804767,0.375,0.808736,0.375
431,11.747,4.1,0.809877,0.25,0.812965,0.25
432,10.836,4.4,0.807053,0.375,0.810928,0.375
433,11.488,2.9,0.817572,0.6,0.821572,0.6
434,11.55,4.7,0.813314,0.333333,0.817556,0.333333
435,11.782,2.4,0.819492,0.6,0.820117,0.6
436,11.366,3.3,0.809418,0.333333,0.809418,0.333333
437,11.271,4.4,0.807316,0.333333,0.811423,0.333333
438,10.481,4.9,0.813817,0.571429,0.816397,0.615385
439,11.508,3.4,0.811966,0.571429,0.816156,0.571429
440,10.556,4.3,0.809041,0.545455,0.814236,0.571429
441,11.123,4.3,0.812829,0.571429,0.818226,0.571429
442,10.811,3.6,0.816243,0.5,0.821634,0.5
443,11.3,3.3,0.8166,0.5,0.819457,0.5
444,11.687,4.3,0.830323,0.571429,0.83395,0.666667
445,11.402,4.3,0.835498,0.428571,0.836748,0.428571
446,12.217,4.3,0.83823,0.625,0.843715,0.625
447,10.962,4.3,0.825934,0.625,0.829616,0.625
448,11.036,3.8,0.822623,0.333333,0.825674,0.333333
449,11.033,4.4,0.839886,0.625,0.842827,0.625
450,10.622,3.4,0.831194,0.555556,0.836118,0.555556
451,10.907,5,0.832588,0.571429,0.837611,0.642857
452,10.215,2.4,0.830896,0.5,0.836395,0.5
453,10.92,4.3,0.834752,0.571429,0.838948,0.615385
454,11.187,4.4,0.83908,0.5,0.842463,0.5
455,11.179,1.9,0.836371,0.571429,0.840468,0.571429
456,10.541,4.5,0.843896,0.333333,0.846158,0.333333
457,10.616,3.4,0.844471,0.583333,0.850146,0.666667
458,10.101,4.3,0.837107,0.583333,0.844051,0.666667
459,11.062,3.3,0.845369,0.571429,0.850726,0.642857
460,10.559,2.4,0.833175,0.5,0.843137,0.5
461,10.942,3.4,0.836864,0.529412,0.841706,0.529412
462,10.501,3.4,0.8457,0.5,0.851486,0.571429
463,9.953,3.4,0.842256,0.642857,0.850262,0.714286
464,11.277,3.7,0.83573,0.571429,0.845373,0.642857
465,10.793,4.4,0.837982,0.6,0.84453,0.6
466,11.239,3.5,0.839879,0.6,0.845406,0.6
467,10.954,4.1,0.84317,0.6,0.849403,0.6
468,11.019,3.6,0.84685,0.5,0.850421,0.571429
469,11.003,3.4,0.853143,0.7,0.856,0.7
470,11.733,3.7,0.837824,0.6,0.847418,0.636364
471,11.291,3.1,0.836733,0.5,0.846376,0.5
472,11.329,4.1,0.840906,0.6,0.846069,0.6
473,11.242,3.5,0.84252,0.6,0.848147,0.7
474,12.158,5.1,0.825829,0.583333,0.830943,0.583333
475,11.247,1.8,0.831502,0.444444,0.836672,0.6
476,11.214,2.8,0.839239,0.444444,0.843152,0.666667
477,10.826,3,0.823756,0.444444,0.827234,0.5
478,11.576,4.1,0.826894,0.625,0.829001,0.666667
479,11.649,4.8,0.802969,0.333333,0.81289,0.333333
480,11.237,1.8,0.809656,0.333333,0.820335,0.333333
481,10.993,2.9,0.818573,0.538462,0.821009,0.615385
482,11.697,3.5,0.820384,0.444444,0.828105,0.444444
483,11.245,4.5,0.828695,0.466667,0.836951,0.6
484,11.141,3.8,0.811674,0,0.817396,0
485,11.584,3.1,0.810515,0.533333,0.816127,0.666667
486,10.875,3.5,0.819414,0.5,0.826942,0.625
